Kernel,Real GPU(ms)
Kernel 1,0.328477
Kernel 2,0.06704
Kernel 1,0.265918
Kernel 2,0.06608
Kernel 1,0.219519
Kernel 2,0.107199
Kernel 1,0.096319
Kernel 2,0.0496
Kernel 1,0.0512
Kernel 2,0.03936
Kernel 1,0.0408
Kernel 2,0.038559
Kernel 1,0.03872
Kernel 2,0.037119
Kernel 1,0.03664
Kernel 2,0.0368
